timestamp,bus,can_id,payload
1780062816.116256,vcan0,600,00000000
1780062816.116286,vcan0,601,00000000
1780062816.116302,vcan0,602,7F000000
1780062816.228252,vcan0,600,00000000
1780062816.228280,vcan0,601,00000000
1780062816.228297,vcan0,602,7F000000
1780062816.260240,vcan0,603,00
1780062816.260267,vcan0,604,00
1780062816.260283,vcan0,607,01000000
1780062816.340240,vcan0,600,00000000
1780062816.340267,vcan0,601,00000000
1780062816.340284,vcan0,602,7F000000
1780062816.452255,vcan0,600,00000000
1780062816.452283,vcan0,601,00000000
1780062816.452300,vcan0,602,7F000000
1780062816.468258,vcan0,603,00
1780062816.468281,vcan0,604,00
1780062816.468297,vcan0,607,01000000
1780062816.532271,vcan0,606,00
1780062816.564242,vcan0,600,00000000
1780062816.564267,vcan0,601,00000000
1780062816.564281,vcan0,602,7F000000
1780062816.676253,vcan0,600,00000000
1780062816.676281,vcan0,601,00000000
1780062816.676298,vcan0,602,7F000000
1780062816.676311,vcan0,603,00
1780062816.676323,vcan0,604,00
1780062816.676336,vcan0,607,01000000
1780062816.788264,vcan0,600,00000000
1780062816.788294,vcan0,601,00000000
1780062816.788310,vcan0,602,7F000000
1780062816.885245,vcan0,603,00
1780062816.885272,vcan0,604,00
1780062816.885289,vcan0,607,01000000
1780062816.901228,vcan0,600,00000000
1780062816.901250,vcan0,601,00000000
1780062816.901266,vcan0,602,7F000000
1780062817.013232,vcan0,600,00000000
1780062817.013261,vcan0,601,00000000
1780062817.013278,vcan0,602,7F000000
1780062817.044223,vcan0,606,00
1780062817.092231,vcan0,603,00
1780062817.092257,vcan0,604,00
1780062817.092275,vcan0,607,01000000
1780062817.124255,vcan0,600,00000000
1780062817.124283,vcan0,601,00000000
1780062817.124298,vcan0,602,7F000000
1780062817.236268,vcan0,600,00000000
1780062817.236298,vcan0,601,00000000
1780062817.236315,vcan0,602,7F000000
1780062817.300243,vcan0,603,00
1780062817.300268,vcan0,604,00
1780062817.300284,vcan0,607,01000000
1780062817.348234,vcan0,600,00000000
1780062817.348261,vcan0,601,00000000
1780062817.348277,vcan0,602,7F000000
1780062817.460274,vcan0,600,00000000
1780062817.460313,vcan0,601,00000000
1780062817.460333,vcan0,602,7F000000
1780062817.508229,vcan0,603,00
1780062817.508255,vcan0,604,00
1780062817.508272,vcan0,607,01000000
1780062817.556262,vcan0,606,00
1780062817.572224,vcan0,600,00000000
1780062817.572249,vcan0,601,00000000
1780062817.572266,vcan0,602,7F000000
1780062817.684230,vcan0,600,00000000
1780062817.684259,vcan0,601,00000000
1780062817.684276,vcan0,602,7F000000
1780062817.716241,vcan0,603,00
1780062817.716269,vcan0,604,00
1780062817.716286,vcan0,607,01000000
1780062817.796225,vcan0,600,00000000
1780062817.796250,vcan0,601,00000000
1780062817.796265,vcan0,602,7F000000
1780062817.909226,vcan0,600,00000000
1780062817.909255,vcan0,601,00000000
1780062817.909271,vcan0,602,7F000000
1780062817.925203,vcan0,603,00
1780062817.925224,vcan0,604,00
1780062817.925238,vcan0,607,01000000
1780062818.021215,vcan0,600,00000000
1780062818.021241,vcan0,601,00000000
1780062818.021257,vcan0,602,7F000000
1780062818.068221,vcan0,606,00
1780062818.132217,vcan0,600,00000000
1780062818.132242,vcan0,601,00000000
1780062818.132258,vcan0,602,7F000000
1780062818.132272,vcan0,603,00
1780062818.132284,vcan0,604,00
1780062818.132297,vcan0,607,01000000
1780062818.244273,vcan0,600,00000000
1780062818.244303,vcan0,601,00000000
1780062818.244319,vcan0,602,7F000000
1780062818.340244,vcan0,603,00
1780062818.340275,vcan0,604,00
1780062818.340300,vcan0,607,01000000
1780062818.356258,vcan0,600,00000000
1780062818.356285,vcan0,601,00000000
1780062818.356301,vcan0,602,7F000000
1780062818.468220,vcan0,600,00000000
1780062818.468247,vcan0,601,00000000
