timestamp,bus,can_id,payload
1780061448.162619,vcan0,600,00000000
1780061448.162652,vcan0,601,00000000
1780061448.162669,vcan0,602,7F000000
1780061448.258613,vcan0,603,00
1780061448.258643,vcan0,604,00
1780061448.258660,vcan0,607,01000000
1780061448.274632,vcan0,600,00000000
1780061448.274657,vcan0,601,00000000
1780061448.274673,vcan0,602,7F000000
1780061448.386686,vcan0,600,00000000
1780061448.386721,vcan0,601,00000000
1780061448.386738,vcan0,602,7F000000
1780061448.466607,vcan0,603,00
1780061448.466635,vcan0,604,00
1780061448.466651,vcan0,607,01000000
1780061448.482628,vcan0,606,00
1780061448.498636,vcan0,600,00000000
1780061448.498671,vcan0,601,00000000
1780061448.498686,vcan0,602,7F000000
1780061448.610636,vcan0,600,00000000
1780061448.610668,vcan0,601,00000000
1780061448.610686,vcan0,602,7F000000
1780061448.674641,vcan0,603,00
1780061448.674671,vcan0,604,00
1780061448.674689,vcan0,607,01000000
1780061448.722618,vcan0,600,00000000
1780061448.722648,vcan0,601,00000000
1780061448.722664,vcan0,602,7F000000
1780061448.834669,vcan0,600,00000000
1780061448.834723,vcan0,601,00000000
1780061448.834756,vcan0,602,7F000000
1780061448.883670,vcan0,603,00
1780061448.883702,vcan0,604,00
1780061448.883719,vcan0,607,01000000
1780061448.947624,vcan0,600,00000000
1780061448.947653,vcan0,601,00000000
1780061448.947670,vcan0,602,7F000000
1780061448.995626,vcan0,606,00
1780061449.058641,vcan0,600,00000000
1780061449.058674,vcan0,601,00000000
1780061449.058691,vcan0,602,7F000000
1780061449.090641,vcan0,603,00
1780061449.090674,vcan0,604,00
1780061449.090691,vcan0,607,01000000
1780061449.170608,vcan0,600,00000000
1780061449.170637,vcan0,601,00000000
1780061449.170653,vcan0,602,7F000000
1780061449.282677,vcan0,600,00000000
1780061449.282715,vcan0,601,00000000
1780061449.282733,vcan0,602,7F000000
1780061449.298675,vcan0,603,00
1780061449.298714,vcan0,604,00
1780061449.298738,vcan0,607,01000000
1780061449.394619,vcan0,600,00000000
1780061449.394651,vcan0,601,00000000
1780061449.394667,vcan0,602,7F000000
1780061449.506598,vcan0,600,00000000
1780061449.506627,vcan0,601,00000000
1780061449.506642,vcan0,602,7F000000
1780061449.506657,vcan0,603,00
1780061449.506668,vcan0,604,00
1780061449.506681,vcan0,606,00
1780061449.506694,vcan0,607,01000000
1780061449.618612,vcan0,600,00000000
1780061449.618643,vcan0,601,00000000
1780061449.618660,vcan0,602,7F000000
1780061449.714620,vcan0,603,00
1780061449.714651,vcan0,604,00
1780061449.714670,vcan0,607,01000000
1780061449.730598,vcan0,600,00000000
1780061449.730621,vcan0,601,00000000
1780061449.730636,vcan0,602,7F000000
1780061449.842628,vcan0,600,00000000
1780061449.842658,vcan0,601,00000000
1780061449.842675,vcan0,602,7F000000
1780061449.923623,vcan0,603,00
1780061449.923656,vcan0,604,00
1780061449.923673,vcan0,607,01000000
1780061449.955649,vcan0,600,00000000
1780061449.955683,vcan0,601,00000000
1780061449.955699,vcan0,602,7F000000
1780061450.019607,vcan0,606,00
1780061450.066606,vcan0,600,00000000
