scenario,can_id,period_seconds,period_ms
normal,600,0.11201286315917969,112.01286315917969
normal,600,0.11205410957336426,112.05410957336426
normal,600,0.11194992065429688,111.94992065429688
normal,600,0.1119999885559082,111.9999885559082
normal,600,0.11198210716247559,111.98210716247559
normal,600,0.11205101013183594,112.05101013183594
normal,600,0.11295485496520996,112.95485496520996
normal,600,0.11101698875427246,111.01698875427246
normal,600,0.11196708679199219,111.96708679199219
normal,600,0.11206889152526855,112.06889152526855
normal,600,0.11194205284118652,111.94205284118652
normal,600,0.11197900772094727,111.97900772094727
normal,600,0.1120140552520752,112.0140552520752
normal,600,0.11198592185974121,111.98592185974121
normal,600,0.112030029296875,112.030029296875
normal,600,0.1130208969116211,113.0208969116211
normal,600,0.11095714569091797,110.95714569091797
normal,600,0.11205196380615234,112.05196380615234
normal,600,0.11194109916687012,111.94109916687012
normal,600,0.11198592185974121,111.98592185974121
normal,600,0.11201000213623047,112.01000213623047
normal,600,0.11202692985534668,112.02692985534668
normal,600,0.11202812194824219,112.02812194824219
normal,600,0.11197686195373535,111.97686195373535
normal,600,0.11295199394226074,112.95199394226074
normal,600,0.11104202270507812,111.04202270507812
normal,600,0.11200308799743652,112.00308799743652
normal,600,0.1119840145111084,111.9840145111084
normal,600,0.11198997497558594,111.98997497558594
normal,600,0.11197495460510254,111.97495460510254
normal,600,0.1120450496673584,112.0450496673584
normal,600,0.1119990348815918,111.9990348815918
normal,600,0.11296796798706055,112.96796798706055
normal,600,0.11200404167175293,112.00404167175293
normal,600,0.1109769344329834,110.9769344329834
normal,600,0.11201000213623047,112.01000213623047
normal,600,0.11207008361816406,112.07008361816406
normal,600,0.11193680763244629,111.93680763244629
normal,600,0.11202406883239746,112.02406883239746
normal,600,0.11196708679199219,111.96708679199219
normal,600,0.11202883720397949,112.02883720397949
normal,600,0.1129450798034668,112.9450798034668
normal,600,0.11200904846191406,112.00904846191406
normal,600,0.11103487014770508,111.03487014770508
normal,600,0.11196398735046387,111.96398735046387
normal,600,0.11206603050231934,112.06603050231934
