timestamp,bus,can_id,payload
1776477572.309063,vcan0,600,00000000
1776477572.309317,vcan0,601,00000000
1776477572.309476,vcan0,602,7F000000
1776477572.340681,vcan0,603,00
1776477572.340919,vcan0,604,00
1776477572.341099,vcan0,607,00000000
1776477572.421522,vcan0,600,00000000
1776477572.421657,vcan0,601,00000000
1776477572.421774,vcan0,602,7F000000
1776477572.532673,vcan0,600,00000000
1776477572.533061,vcan0,601,00000000
1776477572.533254,vcan0,602,7F000000
1776477572.548614,vcan0,603,00
1776477572.548788,vcan0,604,00
1776477572.548928,vcan0,607,00000000
1776477572.580652,vcan0,606,00
1776477572.644509,vcan0,600,00000000
1776477572.644640,vcan0,601,00000000
1776477572.644774,vcan0,602,7F000000
1776477572.756616,vcan0,600,00000000
1776477572.756925,vcan0,601,00000000
1776477572.757158,vcan0,602,7F000000
1776477572.757352,vcan0,603,00
1776477572.757540,vcan0,604,00
1776477572.757723,vcan0,607,00000000
1776477572.868533,vcan0,600,00000000
1776477572.868727,vcan0,601,00000000
1776477572.868911,vcan0,602,7F000000
1776477572.964532,vcan0,603,00
1776477572.964694,vcan0,604,00
1776477572.964818,vcan0,607,00000000
1776477572.980514,vcan0,600,00000000
1776477572.980649,vcan0,601,00000000
1776477572.980774,vcan0,602,7F000000
1776477573.092617,vcan0,600,00000000
1776477573.092882,vcan0,601,00000000
1776477573.093066,vcan0,602,7F000000
1776477573.093197,vcan0,606,00
1776477573.172559,vcan0,603,00
1776477573.172755,vcan0,604,00
1776477573.172901,vcan0,607,00000000
1776477573.204584,vcan0,600,00000000
1776477573.204787,vcan0,601,00000000
1776477573.204943,vcan0,602,7F000000
1776477573.316643,vcan0,600,00000000
1776477573.316849,vcan0,601,00000000
1776477573.317006,vcan0,602,7F000000
1776477573.381554,vcan0,603,00
1776477573.381707,vcan0,604,00
1776477573.381864,vcan0,607,00000000
1776477573.429677,vcan0,600,00000000
1776477573.429895,vcan0,601,00000000
1776477573.430073,vcan0,602,7F000000
1776477573.540729,vcan0,600,00000000
